"Estimate","SE","df","t","p"
"0.568645811461873",0.09,72.385,6.293,0
"-0.381814554919072",0.158,65.627,-2.422,0.018
"Number of observations =",101,NA,NA,NA
"Log likelihood =",-10.526,NA,NA,NA
"AIC =",29.051,NA,NA,NA
"BIC =",39.512,NA,NA,NA
"SD(study) =",0.131,NA,NA,NA
