Eye tracker;Accuracy;Precision
ASL6000;1;0,5
Easygaze;0,7;0,35
Nihon-Kohden EEG-1100;1;0,5
Eye gaze 97;0,7162;0,5
Eye gaze tm;0,4;0,5
EyeLink 1000;0,5;0,05
EyeLink II;0,5;0,01
Eyetribe;1;0,5
ISCAN;1;0,5
SMI Glasses;0,5;0,5
SMI iview;0,5;0,01
SMI iview HED;1;0,5
SMI RED;0,4;0,03
Tobii D10;0,5;0,5
Tobii Glasses;1;0,5
Tobii T120;0,4;0,24
Tobii T1750;0,5;0,25
Tobii T2150;0,5;0,35
Tobii T60;0,5;0,22
Tobii X1;0,5;0,2
Tobii X2;0,4;0,32
Unknown;1;0,5
