Estimate,SE,df,t,p
0.566919116887471,0.091,72.214,6.26,0
-0.380478620341833,0.158,65.436,-2.408,0.019
Number of observations =,101,NA,NA,NA
Log likelihood =,-10.738,NA,NA,NA
BIC =,39.936,NA,NA,NA
SD(study) =,0.132,NA,NA,NA
